tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
1998-314,Gstaad,Clay,32,A,19980706,2,102463,,LL,Lucas Arnold Ker,R,180,ARG,23.7316906229,88,601,103819,,WC,Roger Federer,R,185,SUI,16.9089664613,702,19,6-4 6-4,3,R32,80,1,1,62,46,29,9,10,1,3,1,3,74,36,24,15,10,1,5
1998-327,Toulouse,Hard,32,A,19980928,14,103819,,Q,Roger Federer,R,185,SUI,17.1389459274,878,9,101703,,,Guillaume Raoux,R,180,FRA,28.6187542779,45,859,6-2 6-2,3,R32,60,8,0,41,22,18,15,8,1,1,0,0,65,36,22,11,8,4,8
1998-327,Toulouse,Hard,32,A,19980928,23,103819,,Q,Roger Federer,R,185,SUI,17.1389459274,878,9,101735,7.0,,Richard Fromberg,R,196,AUS,28.4188911704,43,927,6-1 7-6(5),3,R16,85,8,3,73,43,32,18,10,4,4,9,4,75,39,30,16,9,8,10
1998-327,Toulouse,Hard,32,A,19980928,28,101733,2.0,,Jan Siemerink,L,183,NED,28.4572210815,20,1652,103819,,Q,Roger Federer,R,185,SUI,17.1389459274,878,9,7-6(5) 6-2,3,QF,79,5,1,63,43,35,9,10,4,5,3,6,67,39,27,14,10,7,10
1998-328,Basel,Hard,32,A,19981005,5,101736,4.0,,Andre Agassi,R,180,USA,28.4353182752,8,2545,103819,,WC,Roger Federer,R,185,SUI,17.158110883,396,77,6-3 6-2,3,R32,60,4,1,50,24,19,17,9,1,2,4,2,53,31,20,7,8,4,8
1999-496,Marseille,Hard,32,A,19990201,025,103096,,WC,Arnaud Clement,R,173,FRA,21.1252566735,103,472,103819,,WC,Roger Federer,R,185,SUI,17.4839151266,243,173,6-3 6-3,3,QF,70,1,2,45,23,21,9,9,1,3,3,6,65,37,21,11,9,5,10
1999-496,Marseille,Hard,32,A,19990201,017,103819,,WC,Roger Federer,R,185,SUI,17.4839151266,243,173,102259,,,Jerome Golmard,L,188,FRA,25.3963039014,63,743,6-7(6) 7-6(5) 7-6(5),3,R16,140,12,5,115,73,63,19,18,3,5,14,8,121,67,54,30,18,4,6
1999-496,Marseille,Hard,32,A,19990201,001,103819,,WC,Roger Federer,R,185,SUI,17.4839151266,243,173,102845,1,,Carlos Moya,R,190,ESP,22.431211499,5,3178,7-6(1) 3-6 6-3,3,R32,113,3,10,110,46,36,32,15,5,8,9,2,105,52,37,28,15,6,9
1999-407,Rotterdam,Carpet,32,A,19990215,028,102338,2,,Yevgeny Kafelnikov,R,190,RUS,24.9911019849,2,3350,103819,,Q,Roger Federer,R,185,SUI,17.5222450376,178,262,6-1 5-7 6-4,3,QF,109,6,6,93,57,38,18,15,3,7,6,6,93,39,25,27,14,10,16
1999-407,Rotterdam,Carpet,32,A,19990215,014,103819,,Q,Roger Federer,R,185,SUI,17.5222450376,178,262,101703,,,Guillaume Raoux,R,180,FRA,29.0020533881,71,691,6-7(4) 7-5 7-6(3),3,R32,149,14,2,111,71,58,21,18,1,2,10,9,140,69,49,40,18,4,6
1999-407,Rotterdam,Carpet,32,A,19990215,023,103819,,Q,Roger Federer,R,185,SUI,17.5222450376,178,262,102539,,,Bohdan Ulihrach,R,188,CZE,23.9780971937,30,1155,6-4 7-5,3,R16,65,10,3,55,37,31,13,11,0,0,5,4,70,41,33,12,11,5,7
