tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,player_id,player_seed,player_entry,player_name,player_hand,player_ht,player_ioc,player_age,player_rank,player_rank_points,score,best_of,round,minutes,player_ace,player_df,player_svpt,player_1stIn,player_1stWon,player_2ndWon,player_SvGms,player_bpSaved,player_bpFaced
1998-314,Gstaad,Clay,32,A,19980706,2,103819,,WC,Roger Federer,R,185,SUI,16.9089664613,702.0,19.0,6-4 6-4,3,R32,80.0,1.0,3.0,74.0,36.0,24.0,15.0,10.0,1.0,5.0
1998-327,Toulouse,Hard,32,A,19980928,14,103819,,Q,Roger Federer,R,185,SUI,17.1389459274,878.0,9.0,6-2 6-2,3,R32,60.0,8.0,0.0,41.0,22.0,18.0,15.0,8.0,1.0,1.0
1998-327,Toulouse,Hard,32,A,19980928,23,103819,,Q,Roger Federer,R,185,SUI,17.1389459274,878.0,9.0,6-1 7-6(5),3,R16,85.0,8.0,3.0,73.0,43.0,32.0,18.0,10.0,4.0,4.0
1998-327,Toulouse,Hard,32,A,19980928,28,103819,,Q,Roger Federer,R,185,SUI,17.1389459274,878.0,9.0,7-6(5) 6-2,3,QF,79.0,3.0,6.0,67.0,39.0,27.0,14.0,10.0,7.0,10.0
1998-328,Basel,Hard,32,A,19981005,5,103819,,WC,Roger Federer,R,185,SUI,17.158110883,396.0,77.0,6-3 6-2,3,R32,60.0,4.0,2.0,53.0,31.0,20.0,7.0,8.0,4.0,8.0
1999-496,Marseille,Hard,32,A,19990201,25,103819,,WC,Roger Federer,R,185,SUI,17.4839151266,243.0,173.0,6-3 6-3,3,QF,70.0,3.0,6.0,65.0,37.0,21.0,11.0,9.0,5.0,10.0
1999-496,Marseille,Hard,32,A,19990201,17,103819,,WC,Roger Federer,R,185,SUI,17.4839151266,243.0,173.0,6-7(6) 7-6(5) 7-6(5),3,R16,140.0,12.0,5.0,115.0,73.0,63.0,19.0,18.0,3.0,5.0
1999-496,Marseille,Hard,32,A,19990201,1,103819,,WC,Roger Federer,R,185,SUI,17.4839151266,243.0,173.0,7-6(1) 3-6 6-3,3,R32,113.0,3.0,10.0,110.0,46.0,36.0,32.0,15.0,5.0,8.0
1999-407,Rotterdam,Carpet,32,A,19990215,14,103819,,Q,Roger Federer,R,185,SUI,17.5222450376,178.0,262.0,6-7(4) 7-5 7-6(3),3,R32,149.0,14.0,2.0,111.0,71.0,58.0,21.0,18.0,1.0,2.0
1999-407,Rotterdam,Carpet,32,A,19990215,28,103819,,Q,Roger Federer,R,185,SUI,17.5222450376,178.0,262.0,6-1 5-7 6-4,3,QF,109.0,6.0,6.0,93.0,39.0,25.0,27.0,14.0,10.0,16.0
1999-407,Rotterdam,Carpet,32,A,19990215,23,103819,,Q,Roger Federer,R,185,SUI,17.5222450376,178.0,262.0,6-4 7-5,3,R16,65.0,10.0,3.0,55.0,37.0,31.0,13.0,11.0,0.0,0.0
1999-403,Miami Masters,Hard,96,M,19990315,12,103819,,WC,Roger Federer,R,185,SUI,17.5989048597,125.0,366.0,7-5 7-6(4),3,R128,102.0,6.0,6.0,104.0,54.0,39.0,22.0,12.0,11.0,14.0
1999-D060,Davis Cup WG R1: SUI vs ITA,Carpet,4,D,19990402,4,103819,,,Roger Federer,R,185,SUI,17.6372347707,123.0,367.0,6-4 7-6(4),3,RR,,,,,,,,,,
